,Status,MARCField,MARCFieldLabel,MARCInd1Label,MARCInd1Value,MARCInd1ValueLabel,MARCInd2Label,MARCInd2Value,MARCInd2ValueLabel,CharacterPosition,CharacterPositionLabel,MARCSubfield,MARCSubfieldLabel,CodeValue,CodeValueLabel,MARCTagCondition1,Condition1Values,MARCTagCondition2,Condition2Values,MARCTagCondition3,Condition3Values,RDA Registry URI,RDA Registry Label,Recording Method,Justification for Mapping,Transformation Notes,Problems with Mapping,Notes (Uncategorized)
0,done,600,SUBJECT ADDED ENTRY--PERSONAL NAME (R),Type of personal name entry element,0|1,,Thesaurus,*,,,,$1,,,,"only name: $a, $b, $c, $d, $g, $j, $q $u",,approved $1,,source in ind2 or $2,,https://www.rdaregistry.info/Elements/w/object/#P10261,has subject person,IRI,"If there are only name part subfields and subfield $0/$1 we can just add statements with the external IRI as subject, the RDA aap element, and the name part as a string; there is no point in using the nomen approach because its purpose is to identify the scheme and this is already identified by the IRI. Example:
<work> has subject person https://id.worldcat.org/fast/01583751 . // ind1=1 and only name part subfields $a and $d are recorded
https://id.worldcat.org/fast/01583751 has authorized access point for person ""Bickford, Sarah Gammon, 1855-1931"" . // only name part subfields $a and $d are recorded--Gordon
If we have no qualifier subfields, then AP/AAP is relevant, and it is useful to add the RDA AAP statement to the subfield $1 IRI as subject, with the value as a string object, no nomen, because we already 'know' the source from the IRI.","<work> rdawo:P10261 <$1> . // has subject person
<$1> nomen property <nomenIRI>
<nomenIRI> rdan:P80068 stripEndStop(concatenateOA($a, $b, $c, $d, $g, $j, $q $u))” . // has nomen string
<nomenIRI> rdan:P80069 <scheme> .// has scheme of nomen

If $2 is approved source, use rdaao:P50411 .// has authorized access point for person. If unapproved use rdaao:P50377 .// has access point for person
- CP 2024-12-02",,https://github.com/uwlib-cams/MARC2RDA/wiki/Decisions-Index#iic1-0s-and-1s-for-rda-entities
1,done,600,SUBJECT ADDED ENTRY--PERSONAL NAME (R),Type of personal name entry element,0|1,,Thesaurus,*,,,,$1,,,,"only name: $a, $b, $c, $d, $g, $j, $q $u",,approved $1,,no source,,https://www.rdaregistry.info/Elements/w/object/#P10261,has subject person,IRI,,"<work> rdawo:P10261 <$1> . // has subject person
<$1> rdaad:P50377 stripEndStop(concatenateOA($a, $b, $c, $d, $g, $j, $q $u))” . // has access point for person
- CP 2024-12-02",,https://github.com/uwlib-cams/MARC2RDA/wiki/Decisions-Index#iic1-0s-and-1s-for-rda-entities
2,done,600,SUBJECT ADDED ENTRY--PERSONAL NAME (R),Type of personal name entry element,0|1,,Thesaurus,*,,,,$0,,,,"only name: $a, $b, $c, $d, $g, $j, $q $u",,$0 type is right and no $1,,source in ind2 or $2,,https://www.rdaregistry.info/Elements/w/object/#P10261,has subject person,IRI,,"<work> rdawo:P10261 <converted $0> . // has subject person
<converted $0> nomen property <nomenIRI>
<nomenIRI> rdan:P80068 stripEndStop(concatenateOA($a, $b, $c, $d, $g, $j, $q $u))” . // has nomen string
<nomenIRI> rdan:P80069 <scheme> .// has scheme of nomen

If $2 is approved source, use rdaao:P50411 .// has authorized access point for person. If unapproved use rdaao:P50377 .// has access point for person
- CP 2024-12-02","check the class/entity/type of the most common sources of values for subfields $0 and $1 in MARC 21 records, including FAST, before deciding to use them.",https://github.com/uwlib-cams/MARC2RDA/wiki/Decisions-Index#iic1-0s-and-1s-for-rda-entities
3,done,600,SUBJECT ADDED ENTRY--PERSONAL NAME (R),Type of personal name entry element,0|1,,Thesaurus,*,,,,$0,,,,"only name: $a, $b, $c, $d, $g, $j, $q $u",,$0 type is right and no $1,,no source,,https://www.rdaregistry.info/Elements/w/object/#P10261,has subject person,IRI,,"<work> rdawo:P10261 <converted $0> . // has subject person
<converted $0> rdaad:P50377 stripEndStop(concatenateOA($a, $b, $c, $d, $g, $j, $q $u))” . // has access point for person
- CP 2024-12-02",,https://github.com/uwlib-cams/MARC2RDA/wiki/Decisions-Index#iic1-0s-and-1s-for-rda-entities
4,done,600,SUBJECT ADDED ENTRY--PERSONAL NAME (R),Type of personal name entry element,0|1,,Thesaurus,*,,,,$0|$1,,,,"only name: $a, $b, $c, $d, $g, $j, $q $u",,$0 or $1 type is unapproved,,,,http://rdaregistry.info/Elements/a/P50094,has identifier for person,structured description,,"<personIRI> rdawd:P50094 ""$0 or $1 value"". // has identifier for person",,https://github.com/uwlib-cams/MARC2RDA/wiki/Decisions-Index#iic1-0s-and-1s-for-rda-entities
5,done,600,SUBJECT ADDED ENTRY--PERSONAL NAME (R),Type of personal name entry element,0|1,,Thesaurus,*,,,,"$a, $b, $c, $d, $g, $j, $q $u",,,, ,,no $1|$0 or $1|$0 uri is not for the name,,source in ind2 or $2,,https://www.rdaregistry.info/Elements/w/object/#P10261,has subject person,IRI,,"<work> rdawo:P10261 <personS> . // has subject person
<personS> nomen property <nomenP> . // has authorized access point for person;
<nomenP> rdand:P80068 “stripEndStop(concatenateOA($a, $b, $c, $d, $g, $j, $q $u))” . // has nomen string; OA = in order of appearance
<nomenP> rdano:P80069 <tScheme(2nd indicator or $2)> . // has scheme of nomen

If $2 is approved source, use rdaao:P50411 .// has authorized access point for person. If unapproved use rdaao:P50377 .// has access point for person
- CP 2024-12-02",,https://github.com/uwlib-cams/MARC2RDA/wiki/Decisions-Index#iic1-0s-and-1s-for-rda-entities
6,done,600,SUBJECT ADDED ENTRY--PERSONAL NAME (R),Type of personal name entry element,0|1,,Thesaurus,*,,,,"$a, $b, $c, $d, $g, $j, $q $u",,,, ,,no $1|$0 or $1|$0 uri is not for the name,,no source,,https://www.rdaregistry.info/Elements/w/datatype/#P10261,has subject person,IRI,,"<work> rdawo:P10261 <personS> . // has subject person
<personS> rdaad:P50377 ""stripEndStop(concatenateOA($a, $b, $c, $d, $g, $j, $q $u))"" . // has access point for person",,https://github.com/uwlib-cams/MARC2RDA/wiki/Decisions-Index#iic1-0s-and-1s-for-rda-entities
7,done,600,SUBJECT ADDED ENTRY--PERSONAL NAME (R),Type of personal name entry element,3,,Thesaurus,*,,,,$1,,,,"only name: $a, $b, $c, $d, $g, $j, $q $u",,,,source in ind2 or $2,,https://www.rdaregistry.info/Elements/w/object/#P10262,has subject family,IRI,,"<work> rdawo:P10262 <$1> . // has subject family
<$1> nomen property <nomenIRI>
<nomenIRI> rdan:P80068 stripEndStop(concatenateOA($a, $b, $c, $d, $g, $j, $q $u))” . // has nomen string
<nomenIRI> rdan:P80069 <scheme> .// has scheme of nomen

If $2 is approved source, use rdaao:P50409 .// has authorized access point for family. If unapproved use rdaao:P50376 .// has access point for family
- CP 2024-12-02",,coded - CP 2024-08-29
8,done,600,SUBJECT ADDED ENTRY--PERSONAL NAME (R),Type of personal name entry element,3,,Thesaurus,*,,,,$1,,,,"only name: $a, $b, $c, $d, $g, $j, $q $u",,,,no source,,https://www.rdaregistry.info/Elements/w/object/#P10262,has subject family,IRI,,"<work> rdawo:P10262 <$1> . // has subject family
<$1> rdaad:P50376 stripEndStop(concatenateOA($a, $b, $c, $d, $g, $j, $q $u))” . // has access point for family
- CP 2024-12-02",,coded - CP 2024-08-29
9,done,600,SUBJECT ADDED ENTRY--PERSONAL NAME (R),Type of personal name entry element,3,,Thesaurus,*,,,,$0,,,,"only name: $a, $b, $c, $d, $g, $j, $q $u",,$0 type is right and no $1,,source in ind2 or $2,,https://www.rdaregistry.info/Elements/w/object/#P10262,has subject family,IRI,,"<work> rdawo:P10262 <converted $0> . // has subject family
<converted $0> nomen property <nomenIRI>
<nomenIRI> rdan:P80068 stripEndStop(concatenateOA($a, $b, $c, $d, $g, $j, $q $u))” . // has nomen string
<nomenIRI> rdan:P80069 <scheme> .// has scheme of nomen

If $2 is approved source, use rdaao:P50409 .// has authorized access point for family. If unapproved use rdaao:P50376 .// has access point for family
- CP 2024-12-02", ,coded for FAST- CP 2024-08-29
